category,name,price,status,url
router,Mercusys AC12 AC1200 Dual Band WiFi Router,"1,927৳ 1,980৳",N/A,https://www.startech.com.bd/mercusys-ac12-1200mbps-dual-band-router
monitor,Gigasonic RDA-1705M 17 Inch HDMI LED Square Monitor,"4,500৳ 4,800৳",N/A,https://www.startech.com.bd/gigasonic-rda-1705m-17-inch-led-square-monitor
monitor,Gigasonic RDA-1707W 17 Inch LED Square Monitor,"4,800৳",N/A,https://www.startech.com.bd/gigasonic-rda-1707w-monitor
monitor,Gigasonic RB-G20S-400C 20 Inch HD LED Monitor,"6,500৳",N/A,https://www.startech.com.bd/gigasonic-rb-g20s-400c-monitor
monitor,"Gigasonic GS-21.5FHD500S8 21.5"" 100Hz FHD IPS Gaming Monitor","8,600৳",N/A,https://www.startech.com.bd/gigasonic-gs-21-5fhd500s8-gaming-monitor
monitor,"Dahua DHI-LM19-A202Y 18.5"" HD Monitor","8,700৳ 8,900৳",N/A,https://www.startech.com.bd/dahua-dhi-lm19-a202y-monitor
monitor,"Aiwa MF2219-V 21.45"" IPS FHD 100Hz Monitor","8,700৳ 9,200৳",N/A,https://www.startech.com.bd/aiwa-mf2219-v-100hz-monitor
monitor,"Xiaomi Redmi V22FAB-RA 21.45"" FHD Monitor","9,500৳",N/A,https://www.startech.com.bd/xiaomi-redmi-v22fab-ra-fhd-monitor
monitor,"Walton WD215I10 21.45"" 100Hz FHD IPS Monitor","8,950৳ 9,750৳",N/A,https://www.startech.com.bd/walton-wd215i10-100hz-monitor
monitor,"PC Power PCGM-King22 21.45"" IPS FHD 100Hz Monitor","9,800৳",N/A,https://www.startech.com.bd/pc-power-pcgm-king22-ips-fhd-monitor
monitor,"PC Power PCGM22 21.45"" IPS FHD 100Hz Borderless Monitor","9,700৳ 10,200৳",N/A,https://www.startech.com.bd/pc-power-pcgm22-fhd-monitor
monitor,Lenovo D20-30 19.5 Inch HD+ HDMI VGA Monitor,"9,900৳ 10,200৳",N/A,https://www.startech.com.bd/lenovo-d20-30-19-5-inch-monitor
monitor,"TRENDSONIC TS22IPS100W 22"" 100Hz IPS FHD LED Monitor","10,200৳",N/A,https://www.startech.com.bd/trendsonic-ts22ips100w-monitor
monitor,"TRENDSONIC TS22IPS100B 22"" 100Hz IPS FHD LED Monitor","10,200৳",N/A,https://www.startech.com.bd/trendsonic-ts22ips100b-monitor
monitor,"Hikvision DS-D5022F2-2P2/CBD 21.5"" 100Hz Full HD IPS Monitor","9,500৳ 10,600৳",N/A,https://www.startech.com.bd/hikvision-ds-d5022f2-2p2-monitor
monitor,Dell E1920H 18.5 Inch LED Monitor,"10,700৳",N/A,https://www.startech.com.bd/dell-e1920h-led-monitor
monitor,Lenovo D19-10 18.5 Inch HD HDMI VGA Monitor,"9,800৳ 10,800৳",N/A,https://www.startech.com.bd/lenovo-d19-10-wled-monitor
monitor,"Dahua DHI-LM22-A201YFS 21.45"" IPS Full HD 100Hz Monitor","10,300৳ 10,900৳",N/A,https://www.startech.com.bd/dahua-dhi-lm22-a201yfs-fhd-monitor
monitor,"TRENDSONIC TS22IPS120B 22"" 120Hz IPS FHD LED Monitor","11,000৳",N/A,https://www.startech.com.bd/trendsonic-ts22ips120b-monitor
monitor,"MSI PRO MP223 E2 21.45"" 100Hz Full HD Business Monitor","11,200৳",N/A,https://www.startech.com.bd/msi-pro-mp223-e2-business-monitor
monitor,LG 22MP400-B 22-inch Full HD Monitor,"11,400৳",N/A,https://www.startech.com.bd/lg-22mp400-b-22-inch-monitor
starlink,Starlink Mini Kit,"23,850৳ 26,500৳",N/A,https://www.startech.com.bd/starlink-mini
starlink,Starlink Standard Kit,"44,550৳ 49,500৳",N/A,https://www.startech.com.bd/starlink-standard
starlink,Starlink Flat High Performance Kit,"185,000৳ 189,000৳",N/A,https://www.startech.com.bd/starlink-flat-high-performance
starlink,Starlink Mini 15 Meter DC Power Cable for Mini KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-mini-15-meter-dc-power-cable
starlink,Starlink Standard Power Supply Mount for Standard KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-standard-power-supply-mount
starlink,Starlink Mini 5 Meter USB Type-C Power Cable for Mini KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-mini-5-meter-type-c-power-cable
starlink,Starlink Mini 15 Meter RJ45 Ethernet Cable for Mini KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-mini-15-meter-ethernet-cable
starlink,Starlink Mini 30 Meter DC Power Cable for Mini KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-mini-30-meter-dc-power-cable
starlink,Starlink Mini Mobility Mount for Mini KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-mini-mobility-mount
starlink,Starlink Standard Pipe Adapter Mount for Standard KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-standard-pipe-adapter-mount
starlink,Starlink Standard Mobility Mount for Standard KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-standard-mobility-mount
starlink,Starlink Mini Pipe Adapter and Flat Mount for Mini KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-mini-pipe-adapter-and-flat-mount
starlink,Starlink Vehicle Roof Rack Mount for Starlink Mini KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-mini-vehicle-roof-rack-mount
starlink,Starlink Standard 15 Meter RJ45 Ethernet Cable for Standard KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-standard-15-meter-rj45-ethernet-cable
starlink,Starlink Gen 3 Router Mount,Up Coming,Up Coming,https://www.startech.com.bd/starlink-gen-3-router-mount
starlink,Starlink Mini Wall Mount for Mini KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-mini-wall-mount
starlink,Starlink Mini Travel Kit,Up Coming,Up Coming,https://www.startech.com.bd/starlink-mini-travel-kit
starlink,Starlink Standard Wall Mount for Standard KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-standard-wall-mount
starlink,Starlink Standard Roof Rack Mount for Standard KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-standard-roof-rack-mount
starlink,Starlink Standard 45 Meter RJ45 Ethernet Cable for Standard KIT,Up Coming,Up Coming,https://www.startech.com.bd/starlink-standard-45-meter-rj45-ethernet-cable
drone,E88 Pro Foldable Camera Toy Drone,"5,700৳",N/A,https://www.startech.com.bd/e88-pro-foldable-camera-toy-drone
drone,DK U2 ProS 4K Toy Drone,"4,900৳ 7,500৳",N/A,https://www.startech.com.bd/dk-u2-pros-toy-drone
drone,M101 Plus Drone,"22,500৳ 35,000৳",N/A,https://www.startech.com.bd/m101-plus-toy-drone
drone,M101 Max GPS Drone,"13,990৳",N/A,https://www.startech.com.bd/m101-max-toy-drone
drone,V168 MAX 8K Professional HD Camera GPS Drone,"15,990৳",N/A,https://www.startech.com.bd/v168-max-toy-drone
drone,V198 GPS Camera Drone,"13,890৳",N/A,https://www.startech.com.bd/v198-toy-drone
drone,KF102 Max GPS 4K Drone,"21,990৳",N/A,https://www.startech.com.bd/kf102-max-toy-drone
drone,Flyx Max 2 Toy Drone,"4,900৳",N/A,https://www.startech.com.bd/flyx-max-2-toy-drone
drone,K2 Intelligent Aerial Toy Drone,"7,800৳ 10,000৳",N/A,https://www.startech.com.bd/k2-toy-drone
drone,DK W7 GPS 4K Toy Drone Without RC,"12,800৳ 18,000৳",N/A,https://www.startech.com.bd/dk-w7-gps-4k-toy-drone
drone,DK W7 GPS 4K Toy Drone With RC Toy Remote,"15,900৳ 23,000৳",N/A,https://www.startech.com.bd/dk-w7-gps-toy-drone
drone,DK S6 Mini Dual Camera 6K Toy Drone With Wi-Fi & GPS,"9,500৳ 17,000৳",N/A,https://www.startech.com.bd/dk-s6-mini-toy-drone
drone,DK W1 ProS 4K Toy Drone,"7,990৳ 11,500৳",N/A,https://www.startech.com.bd/dk-w1-pros-toy-drone
drone,DK W1 Pro Folding 4K Toy Drone,"7,490৳ 11,000৳",N/A,https://www.startech.com.bd/dk-w1-pro-4k-drone
drone,E99 Pro 2 4K Dual Camera WiFi Mini Toy Drone,"5,900৳",N/A,https://www.startech.com.bd/e99-pro-2-4k-camera-toy-drone
drone,Traveller 3 Drone with 4k Camera,"6,000৳ 7,000৳",N/A,https://www.startech.com.bd/traveller-3-drone-with-4k-camera
drone,K918 MAX GPS 4K Toy Drone,"16,300৳ 19,000৳",N/A,https://www.startech.com.bd/k918-max-gps-4k-toy-drone
drone,DJI Neo Standard,"26,000৳ 29,500৳",N/A,https://www.startech.com.bd/dji-neo-standard
drone,DJI Neo Fly More Combo Drone,"38,000৳ 48,000৳",N/A,https://www.startech.com.bd/dji-neo-fly-more-combo-drone
drone,DJI Mini 4K Stardard,"39,999৳ 44,000৳",N/A,https://www.startech.com.bd/dji-mini-4k
gimbal,Feiyu Pocket 3 Cordless Detachable 3-Axis Gimbal Camera,"29,900৳ 35,000৳",N/A,https://www.startech.com.bd/feiyu-pocket-3-kit
gimbal,DJI Osmo Pocket 3 Gimbal Stabilizer Action Camera,"56,000৳ 60,400৳",N/A,https://www.startech.com.bd/dji-osmo-pocket-3-action-camera
gimbal,DJI Osmo Pocket 3 Creator Combo 3 Axis Gimbal Stabilizer Action Camera,"68,500৳ 75,500৳",N/A,https://www.startech.com.bd/dji-osmo-pocket-3-creator-combo-action-camera
gimbal,DJI Osmo Pocket 2 Creator Combo 3 Axis Gimbal Stabilizer Action Camera,Out Of Stock,Out Of Stock,https://www.startech.com.bd/dji-pocket-2-creator-combo-3-action-camera
gimbal,Hohem iSteady XE Kit Smartphone Gimbal Stabilizer,"6,900৳ 7,500৳",N/A,https://www.startech.com.bd/hohem-isteady-xe-kit-gimbal-stabilizer
gimbal,Zhiyun SMOOTH-X2 Smartphone Gimbal,"8,500৳ 9,100৳",N/A,https://www.startech.com.bd/zhiyun-smooth-x2-smartphone-gimbal
gimbal,Hohem iSteady X3 SE Foldable Gimbal Stabilizer,"7,900৳ 8,800৳",N/A,https://www.startech.com.bd/hohem-isteady-x3-se-gimbal-stabilizer
gimbal,Zhiyun Smooth-Q3 3-Axis Gimbal Stabilizer,"8,999৳ 9,600৳",N/A,https://www.startech.com.bd/zhiyun-smooth-q3-gimbal
gimbal,Baseus SUYT-D0G Control Smartphone Handheld Folding Gimbal Stabilizer,"7,800৳ 9,100৳",N/A,https://www.startech.com.bd/baseus-suyt-d0g-control-smartphone-handheld-folding-gimbal-stabilizer
gimbal,Zhiyun Smooth-Q3 Combo 3-Axis Gimbal Stabilizer,"10,500৳ 11,000৳",N/A,https://www.startech.com.bd/zhiyun-smooth-q3-combo-gimbal
gimbal,Zhiyun Smooth Q4 Handheld Gimbal Stabilizer,"9,900৳ 10,600৳",N/A,https://www.startech.com.bd/zhiyun-smooth-q4-handheld-gimbal
gimbal,DJI Osmo Mobile SE Smartphone Gimbal with 3-Axis Stabilization,"7,500৳ 9,500৳",N/A,https://www.startech.com.bd/dji-osmo-mobile-se-smartphone-gimbal
gimbal,Zhiyun Smooth-X2 COMBO Smartphone Gimbal,"10,400৳ 11,500৳",N/A,https://www.startech.com.bd/zhiyun-smooth-x2-combo-smartphone-gimbal
gimbal,Hohem iSteady Pro4 3-Axis Action Camera Gimbal Stabilizer,"11,100৳ 11,800৳",N/A,https://www.startech.com.bd/hohem-isteady-pro4-gimbal-stabilizer
